Sample_ID,Location_ID,Basin_ID,Observationtype,Rep_ID_TE,Sampletype,filtersize_mum_TE,sievesize_mumm_TE,Treatment_TE,Method_TE,Discharge m3_s,TSS_mg_L_TE,Rb_ppm,Cs_ppm,Li_ppm,Ba_ppm,Sr_ppm,Th_ppm,U_ppm,Y_ppm,Zr_ppm,Nb_ppm,Hf_ppm,Sc_ppm,Cr_ppm,Co_ppm,V_ppm,Ni_ppm,Pb_ppm,Be_ppm,Au_ppm,Ag_ppm,Pt_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Ge_ppm,As_ppm,Se_ppm,Br_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Te_ppm,I_ppm,B_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hg_ppm,Tl_ppm,Bi_ppm,Mo_ppm,Ta_ppm,W_ppm,SeaCat,Original_Unit,Treatment_ME,Method_ME,Rep_ID_ME,filtersize_mum_ME,sievesize_mumm_ME,Discharge_m3_s,TSS_mg_L_ME,Sand_perc,Silt_perc,Clay_perc,AvgGrainSize_mum,SiO2_wt,Al2O3_wt,Fe2O3T_wt,MnO_wt,CaO_wt,MgO_wt,K2O_wt,Na2O_wt,TiO2_wt,P2O5_org_wt,P2O5_inorg_wt,P2O5_tot_wt,LOI_wt,SO3_wt,N_org_wt,C_org_wt,C_inorg_wt,C_tot_wt,Ca_mumol_L,Mg_mumol_L,K_mumol_L,Na_mumol_L,Cl_mumol_L,Si_mumol_L,DIC_mumol_L,DOC_mumol_L,SO4_mumol_L,HCO3_mumol_L,T_water DegC,pH,Alk_mumol_L,Cond_muS_cm,SI(Cal),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unit,Method,Rep_ID,filtersize_mum,sievesize_mumm,Discharge_m3_s_Minerals,TSS_mg_L,Sand_perc_Minerals,Silt_perc_Minerals,Clay_perc_Minerals,AvgGrainSize_mum_Minerals,Quartz,Albite,Plg,Anorthite,K-feldspar,Feldspar,Ampibole,Pyroxene,BasGlass,totalMafic,Olivine,Mica,Smectite,Illite,Kaolinite,Chlorite,Gibbsite,Vermiculite,BulkClay,Calcite,Dolomite,BulkCarbonate,Casulfate,Fesulfide,FeOxide,FeHydroxide,Lvf,Lvm,Lv,Lp,Lcd,Lcc,Lch,Ls,Lms,Lmb,Lmf,Lm,Lu,L,totHM,Opq,Ap,Ep,Grt,Ttn,Zirc,Tourm,Ru,TiOx,Px,Amp,Ol,Sp,Mon,Ala,Cltd,Staur,And,Ky,Sil,trHM,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
AGO-BEN-111111-DIN1,AGO-BEN-111111,5024.0,single,1.0,BS,,2,dig,ICP-MS,,,116.1,3.15,,565,196.1,24.6,5.1,36.35,218.45,19.1,6.5,15.5,,17.75,115.5,24.5,,1.0,,,,,,27.45,,,,,,7.0,,,,,95.0,196.90,21.33,76.55,12.53,2.400,9.67,1.310,7.05,1.28,3.62,0.510,3.32,0.48,,,,,1.35,8.65,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,47.1,21.1,7.4,0.1,2.1,1.7,2.4,1.2,0.9,,,0.2,15.6,0.06,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,18.21132348,18.93256401,62.85611251,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-BLM-111111-DIN1,AGO-BLM-111111,5020.0,single,1.0,BS,,2,dig,ICP-MS,,,138,4.7,,896,122.5,35.85,9.45,46.25,563.35,32.1,15.35,17.5,,23.7,135.5,28,,3.0,,,,,,26.45,,,,,,7.0,,,,,121.6,255.50,25.38,88.40,13.88,2.740,11.31,1.560,8.76,1.67,4.88,0.690,4.59,0.68,,,,,2.2,8.55,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.0,22.8,9.2,0.2,1.0,0.8,2.6,0.3,1.2,,,0.2,16.3,0.05,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,0,8.014440433,91.98555957,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CPL-111111-DIN1,AGO-CPL-111111,5022.0,single,1.0,BS,,2,dig,ICP-MS,,,139.4,4,,553.5,155.05,29.6,6.15,39.05,145,19.35,4.7,20.0,,18,134,22.65,,1.0,,,,,,27.5,,,,,,5.5,,,,,98.2,194.35,22.15,80.45,13.02,2.435,9.92,1.370,7.18,1.38,3.86,0.550,3.51,0.53,,,,,1.55,14.1,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.0,22.9,8.3,0.1,1.7,1.7,2.5,0.9,1.0,,,0.2,15.7,0.1,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,8.303571429,34.55357143,57.14285714,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CRJ-111111-DIN1,AGO-CRJ-111111,5023.0,single,1.0,BS,,2,dig,ICP-MS,,,131.3,2.65,,610.5,204.3,21.55,2.6,27.8,78.6,15.3,2.2,13.0,,21.15,125.5,20,,2.5,,,,,,25.5,,,,,,6.5,,,,,98.5,197.80,21.60,76.80,11.98,2.280,8.50,1.060,5.61,1.03,2.80,0.390,2.35,0.36,,,,,0.9,6.35,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,46.0,20.5,7.7,0.1,1.7,2.3,2.7,1.6,1.0,,,0.2,15.9,0.1,,,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,22.68803946,40.56720099,36.74475956,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CTB-111111-DIN1,AGO-CTB-111111,5021.0,single,1.0,BS,,2,dig,ICP-MS,,,112,4.9,,594.5,108.1,28.8,6.45,42.7,116.2,17.75,3.9,21.0,,20.8,133,22.9,,4.0,,,,,,29.15,,,,,,7.0,,,,,112.6,231.00,25.29,92.10,14.82,3.005,11.41,1.575,8.37,1.51,4.37,0.585,3.82,0.53,,,,,1.15,4.8,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,41.9,25.0,8.8,0.1,1.2,1.1,1.6,0.3,1.0,,,0.2,18.5,0.07,,,,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,6.324110672,8.300395257,85.37549407,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUA-111111-DIN1,AGO-CUA-111111,5016.0,single,1.0,BS,,2,dig,ICP-MS,,,94.3,4.3,,492.5,100.7,18.3,4.55,31.35,214.55,15.55,6.2,19.0,,21.1,131,33.5,,1.0,,,,,,25.25,,,,,,13.5,,,,,72.2,150.95,15.55,56.90,9.64,2.060,7.87,1.125,5.90,1.12,3.10,0.440,2.88,0.43,,,,,1,4.6,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.5,20.8,8.8,0.1,1.0,1.2,1.6,0.5,1.0,,,0.2,19.2,0.5,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,22.88828338,16.62125341,60.49046322,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111111-DIN1,AGO-CUR-111111,5026.0,single,1.0,BS,,2,dig,ICP-MS,,,43.6,1.85,,260,116.1,5.75,1.3,15.3,56.5,6.6,1.75,16.5,,23.1,111,64,,2.0,,,,,,18.95,,,,,,8.0,,,,,21.8,46.70,5.11,19.70,3.59,1.000,3.40,0.515,2.92,0.63,1.68,0.235,1.49,0.25,,,,,0.45,9.15,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,44.9,22.2,8.5,0.1,2.1,2.2,1.0,0.3,0.6,,,0.1,17.9,0.1,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,41.54676259,8.436886854,50.01635056,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111112-DIN1,AGO-CUR-111112,5026.0,single,0.0,BS,,2,dig,ICP-MS,,,120.55,2.6,,488,93.2,16.45,4,23.55,328.25,15.1,8.45,11.0,,15.85,85.5,30,,1.5,,,,,,15.5,,,,,,2.0,,,,,36.9,85.00,8.78,31.70,6.00,1.315,5.17,0.765,4.38,0.90,2.63,0.385,2.55,0.41,,,,,1.2,3,Summer,wtOx,dig,ICP-AES,0.0,,2,,,,,,,61.8,15.1,4.1,0.1,0.8,1.0,1.3,0.1,0.9,,,0.1,14.6,0.05,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,0.0,,2,,,,,,,28.63868184,,,,,,,,,,,,52.88348372,1.530011769,16.94782268,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-CUR-111113-DIN1,AGO-CUR-111113,5026.0,single,0.0,BS,,2,dig,ICP-MS,,,64.25,1.6,,454.5,163.5,9,2.1,19.3,180.3,11.2,4.9,12.0,,27.45,86.5,56,,1.5,,,,,,19.25,,,,,,1.0,,,,,30.7,66.05,7.16,26.90,5.13,1.480,4.35,0.635,3.70,0.74,2.11,0.295,1.92,0.30,,,,,0.75,3,Summer,wtOx,dig,ICP-AES,0.0,,2,,,,,,,50.9,20.4,6.1,0.1,2.0,1.4,0.8,0.5,0.9,,,0.1,16.6,0.1,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,0.0,,2,,,,,,,2.699530516,,,,,,,,,,,,67.92840376,5.897887324,23.4741784,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-DAN-111111-DIN1,AGO-DAN-111111,5014.0,single,1.0,BS,,2,dig,ICP-MS,,,137.5,5.15,,793,59.3,23.8,5.65,39.6,321.75,24.1,9.3,21.0,,21.55,158,47,,2.0,,,,,,28.05,,,,,,3.5,,,,,64.7,141.90,14.06,49.75,9.07,1.835,8.43,1.300,7.78,1.47,4.30,0.620,4.08,0.60,,,,,1.75,11.65,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.0,22.1,10.7,0.1,0.8,1.5,2.6,0.2,1.1,,,0.3,15.2,0.12,,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,0,16.02959309,83.97040691,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-GRL-111111-DIN1,AGO-GRL-111111,5025.0,single,1.0,BS,,2,dig,ICP-MS,,,131.45,5.8,,602.5,151.85,23.15,8.15,29.5,97.65,17.15,3.35,16.0,,19.65,111.5,34.5,,3.0,,,,,,28.15,,,,,,33.0,,,,,79.3,171.50,17.09,61.20,9.71,1.830,7.52,1.020,5.51,1.03,3.03,0.425,2.87,0.44,,,,,1.3,16.2,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.7,22.4,7.3,0.1,1.5,1.7,2.6,0.7,0.9,,,0.2,16.7,0.1,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,16.8254361,5.010515898,78.164048,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-KEV-111111-DIN1,AGO-KEV-111111,5018.0,single,1.0,BS,,2,dig,ICP-MS,,,113.7,7,,708.5,90.55,39.95,8.65,38.6,363.65,23.6,10.35,19.0,,19.1,106,22.6,,5.5,,,,,,29.1,,,,,,7.5,,,,,96.8,207.05,20.38,72.15,11.72,2.270,9.69,1.390,7.61,1.41,4.12,0.590,3.86,0.57,,,,,1.8,15.4,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,44.7,24.4,8.6,0.1,1.0,0.8,1.8,0.2,1.0,,,0.2,17.0,0.1,,,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,0,13.90728477,86.09271523,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-LON-111111-DIN1,AGO-LON-111111,5017.0,single,1.0,BS,,2,dig,ICP-MS,,,93.1,4.4,,501.5,116.45,21.3,4.25,27.2,366.7,15.05,10.5,16.0,,13.7,186,31.85,,4.5,,,,,,23.45,,,,,,21.0,,,,,64.9,134.50,14.28,51.90,8.44,1.815,6.90,0.975,5.19,0.93,2.77,0.415,2.59,0.38,,,,,1,5.85,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,45.2,19.5,6.6,0.0,2.4,1.2,1.7,0.3,0.8,,,0.2,21.6,0.42,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,46.89564069,7.661822985,45.44253633,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-MEB-111111-DIN1,AGO-MEB-111111,5015.0,single,1.0,BS,,2,dig,ICP-MS,,,136.35,7.7,,475.5,53.5,20.5,5.7,25.05,256.35,18.15,7.95,17.5,,9.4,138.5,20.4,,1.5,,,,,,25.65,,,,,,9.5,,,,,44.5,81.75,9.29,33.60,6.14,1.245,5.43,0.860,4.74,0.93,2.84,0.415,2.79,0.43,,,,,1.35,6.8,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,47.7,21.6,9.3,0.1,0.6,1.5,2.4,0.1,1.0,,,0.2,15.4,0.1,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,0,12.94117647,87.05882353,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO-QUI-111111-DIN1,AGO-QUI-111111,5019.0,single,1.0,BS,,2,dig,ICP-MS,,,140.25,5.65,,862.5,290.7,37.75,8.2,43.75,201.85,96.35,5.35,19.0,,19.25,127,27,,2.5,,,,,,27.9,,,,,,3.5,,,,,336.5,567.10,54.70,173.85,20.68,4.555,14.54,1.750,8.97,1.55,4.26,0.605,3.78,0.59,,,,,3.6,11.8,Summer,wtOx,dig,ICP-AES,1.0,,2,,,,,,,42.0,23.4,8.8,0.2,1.5,1.2,2.1,0.4,1.0,,,0.6,18.5,0.12,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,1.0,,2,,,,,,,0,,,,,,,,,,,,0,14.62765957,85.37234043,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-CHI-111111-GAI1,ARG-CHI-111111,1010.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,140,15.3,,437,167,,2.32,28,,,,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,56.2,17.8,6.9,0.1,2.1,2.4,2.8,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-CHU-111111-GAI1,ARG-CHU-111111,1008.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,59.8,4.26,,359,254,,1.92,30.8,,,,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,57.3,13.5,5.0,0.2,3.1,1.9,1.6,1.6,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-COY-111111-GAI1,ARG-COY-111111,1012.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,104,8.57,,429,175,,2.19,29.8,,,,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,57.3,16.9,7.5,0.1,2.0,2.4,2.2,1.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-DES-111111-GAI1,ARG-DES-111111,1009.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,70.8,6.25,,278,177,,1.88,33.1,,,,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,61.2,16.0,5.7,0.1,3.1,2.4,1.4,0.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-GAL-111111-GAI1,ARG-GAL-111111,1013.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,48.7,1.96,,430,338,,,23.8,,,,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,63.7,14.7,5.4,0.2,3.1,1.8,1.4,2.9,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-PAR-111111-DEP1,ARG-PAR-111111,1004.0,single,0.0,SS,0.2,,dig,ICP-AES/ICP-MS,,,104,,,496,112,11.5,2.8,,278,,6.7,15.0,93,18,,48,45.5,,,,,48,,,,,,,,,,,,,34.7,69.90,8.20,31.10,6.30,1.400,5.10,29.000,4.80,1.10,2.60,0.400,2.60,0.40,,,,,1.3,,Summer,wtOx,dig,ICP-AES/ICP-MS,0.0,0.2,,,,,,,,63.2,14.5,6.6,,0.7,1.2,2.2,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-PAR-111111-DEP2,ARG-PAR-111111,1004.0,single,0.0,SS,0.2,,dig,ICP-AES/ICP-MS,,,98.1,,,480,103,11.4,2.7,,299,,7,16.0,72,20,,36,23.7,,,,,83,,,,,,,,,,,,,35.0,71.50,8.20,31.20,6.30,1.400,5.10,29.000,4.80,1.00,2.70,0.400,2.60,0.40,,,,,1.3,,Autumn,wtOx,dig,ICP-AES/ICP-MS,0.0,0.2,,,,,,,,62.8,14.5,7.0,,0.7,1.1,2.1,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-PAR-111112-DEP1,ARG-PAR-111112,1004.0,single,1.0,SS,0.2,,dig,ICP-AES/ICP-MS,,,152.2,11.45,,525,131,12.8,3.9,,171,,4.4,17.0,76,19,,38,29,,,,,57,,,,,,,,,,,,,39.2,76.50,9.10,34.20,6.90,1.500,5.80,28.000,4.90,1.10,2.60,0.400,2.70,0.50,,,,,1.3,,Summer,wtOx,dig,ICP-AES/ICP-MS,1.0,0.2,,,,,,,,56.4,17.6,7.4,,0.9,1.6,2.7,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-PAR-111112-DEP2,ARG-PAR-111112,1004.0,single,1.0,SS,0.2,,dig,ICP-AES/ICP-MS,,,133.5,,,649,133,13.6,3.6,,225,,5.7,17.0,96,22,,45,97,,,,,134,,,,,,,,,,,,,39.3,80.70,9.40,35.60,7.20,1.600,5.90,32.000,5.50,1.50,3.00,0.500,2.90,0.50,,,,,1.4,,Autumn,wtOx,dig,ICP-AES/ICP-MS,1.0,0.2,,,,,,,,58.1,16.5,7.6,,0.9,1.5,2.6,1.0,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-PAR-111113-MEM1,ARG-PAR-111113,1004.0,single,1.0,SS,0.45,,ign/dig,NAA/AAS/Col/AS/UV,,,100,11,,,150,15.7,,,,,7.4,25.4,90,23,,,,,,0.07,,,,,,3.9,,5.0,,,3,,,,50.0,,,,9.10,2.000,,,,,,,3.50,0.57,,,,,1.1,,Winter,ppmEl,ign/dig,NAA/AAS/Col/AS/UV,1.0,0.45,,,,,,,,61.82624899,20.02830415,6.862701645,0.034863136,0.825520043,1.807520612,2.168290676,0.903139015,1.567952388,,,0.297877508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-RCO-111111-GAI1,ARG-RCO-111111,1006.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,71.6,3.59,,547,369,,1.99,16.2,,,,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,60.2,13.6,3.7,0.1,5.1,1.5,0.2,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-RNE-111111-GAI1,ARG-RNE-111111,1007.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,74.7,8.67,,499,319,,2.48,23.5,,,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Winter,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,56.6,14.7,5.8,0.2,3.4,2.0,1.9,2.5,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-SNC-111111-GAI1,ARG-SNC-111111,1011.0,single,1.0,BS,,63,fused/dig,ICP-AES/ICP-MS,,,102,7.15,,613,195,,2.26,23.5,,,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spring,wtOx,fused/dig,ICP-AES/ICP-MS,1.0,,63,,,,,,,60.2,15.8,5.7,0.1,1.8,1.9,2.4,1.7,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-URU-111111-DEP1,ARG-URU-111111,1005.0,single,1.0,SS,floc/cent,,dig,ICP-AES/ICP-MS,,,53.9,,,470,136,8.8,3.9,,309,,7.2,24.0,60,39,,38,61.5,,,,,112,,,,,,,,,,,,,31.3,68.20,7.90,30.80,6.50,1.700,5.70,34.000,5.90,1.20,3.20,0.500,3.20,0.50,,,,,1.3,,Autumn,wtOx,dig,ICP-AES/ICP-MS,1.0,floc/cent,,,,,,,,55.9,14.2,11.0,,1.3,0.9,1.1,1.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARG-URU-111111-DEP2,ARG-URU-111111,1005.0,single,1.0,SS,floc/cent,,dig,ICP-AES/ICP-MS,,,91.9,8.5,,447,109,9.5,3.3,,218,,5.4,28.0,75,34,,46,76.4,,,,,117,,,,,,,,,,,,,34.0,66.30,8.50,33.30,7.10,1.800,6.50,35.000,6.10,1.30,3.30,0.500,3.20,,,,,,1.5,,Summer,wtOx,dig,ICP-AES/ICP-MS,1.0,floc/cent,,,,,,,,49.2,16.4,11.7,,1.4,1.3,1.2,0.4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS-MUD-111111-DGL1,AUS-MUD-111111,6001.0,single,1.0,SS,cent/TFF,25,fused/dig,ICP-AES,,,106,,,,59,,,18,,,,5.3,,,,,,,,,,141,114,,,,,,,,,,,,24.0,47.00,5.20,20.00,4.20,0.770,3.10,0.520,3.00,0.58,1.60,0.200,1.40,0.23,,,,,,,Winter,wtOx,fused/dig,ICP-AES,1.0,cent,25,,,,,,,68.82,10.27,4.3,0.08,0.24,1.04,1.7,0.68,0.51,,,0.300168874,12.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS-MUD-111111-DGL2,AUS-MUD-111111,6001.0,single,1.0,SS,cent/TFF,25-1,fused/dig,ICP-AES,,,167,,,,68,,,21,,,,7.8,,,,,,,,,,50,107,,,,,,,,,,,,28.0,62.00,6.80,26.00,5.30,1.040,4.00,0.640,3.60,0.70,1.90,0.240,1.70,0.27,,,,,,,Winter,wtOx,fused/dig,ICP-AES,1.0,cent,25-1,,,,,,,59.21,17.18,6.53,0.09,0.29,1.32,2.5,0.32,0.82,,,0.249300561,11.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
