Sample_ID,Location_ID,Basin_ID,Observationtype,Rep_ID_TE,Sampletype,filtersize_mum_TE,sievesize_mumm_TE,Treatment_TE,Method_TE,Discharge m3_s,TSS_mg_L_TE,Rb_ppm,Cs_ppm,Li_ppm,Ba_ppm,Sr_ppm,Th_ppm,U_ppm,Y_ppm,Zr_ppm,Nb_ppm,Hf_ppm,Sc_ppm,Cr_ppm,Co_ppm,V_ppm,Ni_ppm,Pb_ppm,Be_ppm,Au_ppm,Ag_ppm,Pt_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Ge_ppm,As_ppm,Se_ppm,Br_ppm,Cd_ppm,Sn_ppm,Sb_ppm,Te_ppm,I_ppm,B_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hg_ppm,Tl_ppm,Bi_ppm,Mo_ppm,Ta_ppm,W_ppm,SeaCat,Original_Unit,Treatment_ME,Method_ME,Rep_ID_ME,filtersize_mum_ME,sievesize_mumm_ME,Discharge_m3_s,TSS_mg_L_ME,Sand_perc,Silt_perc,Clay_perc,AvgGrainSize_mum,SiO2_wt,Al2O3_wt,Fe2O3T_wt,MnO_wt,CaO_wt,MgO_wt,K2O_wt,Na2O_wt,TiO2_wt,P2O5_org_wt,P2O5_inorg_wt,P2O5_tot_wt,LOI_wt,SO3_wt,N_org_wt,C_org_wt,C_inorg_wt,C_tot_wt,Ca_mumol_L,Mg_mumol_L,K_mumol_L,Na_mumol_L,Cl_mumol_L,Si_mumol_L,DIC_mumol_L,DOC_mumol_L,SO4_mumol_L,HCO3_mumol_L,T_water DegC,pH,Alk_mumol_L,Cond_muS_cm,SI(Cal),Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unit,Method,Rep_ID,filtersize_mum,sievesize_mumm,Discharge_m3_s_Minerals,TSS_mg_L,Sand_perc_Minerals,Silt_perc_Minerals,Clay_perc_Minerals,AvgGrainSize_mum_Minerals,Quartz,Albite,Plg,Anorthite,K-feldspar,Feldspar,Ampibole,Pyroxene,BasGlass,totalMafic,Olivine,Mica,Smectite,Illite,Kaolinite,Chlorite,Gibbsite,Vermiculite,BulkClay,Calcite,Dolomite,BulkCarbonate,Casulfate,Fesulfide,FeOxide,FeHydroxide,Lvf,Lvm,Lv,Lp,Lcd,Lcc,Lch,Ls,Lms,Lmb,Lmf,Lm,Lu,L,totHM,Opq,Ap,Ep,Grt,Ttn,Zirc,Tourm,Ru,TiOx,Px,Amp,Ol,Sp,Mon,Ala,Cltd,Staur,And,Ky,Sil,trHM,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
RUS-PUR-111122-KKV1,RUS-PUR-111122,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,5.33,32.94486727,1.683036678,12.09463597,272.3796123,69.13366008,3.185354664,0.691336601,6.828263024,40.19363916,18.18200242,5.521681902,,36.01858684,12.4600782,53.06421411,12.17973896,9.511510077,,,,,8.02471087,46.50627822,6.35268752,0.191882201,4.976522193,,,0.193634321,,0.448142306,0.033936067,,,11.1,23.98,2.72,10.18,1.92,0.441,1.87,0.249,1.41,0.25,0.76,0.110,0.74,0.11,,0.198790561,,0.270877795,1.272539927,0.726379006,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,5.33,,,,,,6.4,4.1,0.2,0.5,0.5,0.9,0.7,2.0,,,0.3,,,,,,,35.8,30.5,6.6,70.6,,69.1,,872.6,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,0.0,0.45,,,5.33,,,,,53,,,,45,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111122-KKV2,RUS-PUR-111122,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,8,22.79726938,1.179636426,7.029501777,341.8117335,80.48867919,2.445300283,0.587755911,9.180187568,34.01029695,13.03374512,4.478729506,,32.34277892,18.62552818,47.93967012,13.28711359,9.286248785,,,,,8.349374701,65.6401088,4.446911141,0.192147572,11.87885631,,,0.31694627,,0.248124325,0.066523952,,,11.2,26.06,2.93,11.74,2.40,0.534,2.27,0.315,1.82,0.34,1.02,0.143,0.95,0.14,,0.145127099,,0.324547324,0.894449597,0.473386566,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,8.0,,,,,,4.5,9.6,0.5,0.8,0.4,0.7,0.5,1.5,,,0.9,,,,,,,56.7,23.0,6.5,67.2,,231.8,,1093.2,,,,,,,,,,,,,,,,,,,,,,,wt,XRD,0.0,0.45,,,8.0,,,,,98,,,,Y,,,,,0.0,,0,Y,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111122-KKV3,RUS-PUR-111122,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,6.17,21.11889613,1.237985847,7.116149783,365.0430024,96.67927424,2.504265464,0.554130793,9.32626682,28.8703211,11.78195242,3.67498688,,30.15154837,33.53612373,50.16004753,15.41209634,11.06660053,,,,,10.66087856,70.20057738,5.509277251,0.28331138,12.10759768,,,0.376040203,,0.916077496,0.108423858,,,10.6,26.03,2.90,11.35,2.46,0.551,2.37,0.319,1.83,0.35,1.04,0.146,0.98,0.14,,0.148835901,,0.33002279,0.855219201,0.546656968,Autumn,ppmEl,dig,ICP-MS,0.0,0.45,,,6.17,,,,,,4.4,13.0,1.1,1.1,0.4,0.6,0.3,1.3,,,0.9,,,,,,,255.0,119.7,9.3,532.4,,75.2,,809.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111123-KKV1,RUS-PUR-111123,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,5.25,4.095905472,0.244046299,2.207817575,70.92950519,17.06346815,0.646611207,0.18733635,3.052997741,7.808135328,2.211183151,1.066887456,,8.868291633,10.44169821,17.36636995,4.732840649,10.2776264,,,,,5.267125771,53.5126516,1.150606149,0.048338079,4.040794172,,,0.183760426,,0.21493407,0.058140318,,,3.2,6.92,0.81,3.28,0.67,0.156,0.71,0.097,0.57,0.11,0.32,0.046,0.32,0.05,,0.040252284,,0.225367354,0.142532125,0.367352574,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,5.25,,,,,,0.9,4.5,0.2,0.3,0.2,0.1,0.1,0.2,,,0.2,,,,,,,27.2,28.5,3.7,23.6,,25.4,,640.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111123-KKV2,RUS-PUR-111123,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,4.2,4.525653328,0.313093468,1.80614168,73.01539146,19.5141358,0.673237685,0.213029316,2.938503616,6.477608968,2.497267323,0.971370315,,21.62274659,10.74903647,16.75505382,12.87932963,11.42119004,,,,,5.550687517,43.72792598,1.123688987,0.045196907,2.867493844,,,0.155245791,,0.817967526,0.080550016,,,8.9,7.72,0.84,3.41,0.66,0.168,0.72,0.098,0.56,0.11,0.32,0.042,0.29,0.04,,0.040470149,,0.259971654,0.163051446,0.258182858,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,4.2,,,,,,1.0,2.8,0.2,0.3,0.2,0.1,0.1,0.2,,,0.2,,,,,,,108.0,50.1,10.0,130.8,,198.0,,705.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111123-KKV3,RUS-PUR-111123,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,3.85,14.84338058,1.16245812,5.417628894,158.2234664,40.32212536,1.876949575,0.601218419,7.380686478,20.20462923,8.626177322,2.694463112,,26.16555866,7.068032398,34.84299075,14.57685579,18.34920666,,,,,10.24582797,47.96421116,3.702131836,0.072422986,4.816410475,,,0.323878874,,0.667849617,0.06611865,,,8.3,18.87,2.23,8.76,1.94,0.420,1.83,0.249,1.39,0.27,0.79,0.111,0.74,0.10,,0.114041857,,0.441508565,0.617619945,0.575591036,Autumn,ppmEl,dig,ICP-MS,0.0,0.45,,,3.85,,,,,,3.0,3.2,0.1,0.6,0.4,0.4,0.1,0.8,,,0.3,,,,,,,45.5,26.4,3.3,75.3,,162.4,,1283.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111124-KKV1,RUS-PUR-111124,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,n.d.,n.d.,n.d.,n.d.,,,,,n.d.,n.d.,n.d.,n.d.,n.d.,,,n.d.,,n.d.,n.d.,,,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,n.d.,,n.d.,,n.d.,n.d.,n.d.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111124-KKV2,RUS-PUR-111124,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,5.2,11.09866856,0.744434712,2.978223508,173.6529671,36.7370776,1.795657949,0.517130103,11.59786632,16.37659436,6.727053261,2.297278995,,20.57373277,23.52045351,44.33651529,10.74002163,16.70616181,,,,,10.47345972,47.75335431,3.391152137,0.125090234,7.701215872,,,0.239905718,,0.85736003,0.141471675,,,29.2,42.11,4.60,17.80,3.26,0.757,3.26,0.438,2.43,0.42,1.16,0.152,0.88,0.12,,0.083070384,,0.382976764,0.46614408,0.379390295,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,5.2,,,,,,2.7,8.6,0.2,0.5,0.2,0.3,0.1,0.6,,,0.2,,,,,,,26.1,4.0,6.5,19.7,,3.4,,695.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111124-KKV3,RUS-PUR-111124,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,5,25.41947594,1.842899759,8.70993028,290.053415,60.79315792,3.349257217,1.003258561,17.57661971,34.42822835,14.78924607,4.679750504,,41.74692117,25.1598436,76.4200857,21.63276272,37.08333646,,,,,16.78302651,64.85909837,6.481011114,0.149656001,11.21807668,,,0.440444225,,0.889608177,0.167879252,,,26.1,63.39,6.88,25.56,5.05,1.159,4.92,0.650,3.63,0.64,1.76,0.240,1.47,0.20,,0.177529738,,0.735298389,1.070371072,0.823965283,Autumn,ppmEl,dig,ICP-MS,0.0,0.45,,,5.0,,,,,,5.4,9.8,0.2,0.7,0.4,0.7,0.2,1.5,,,0.4,,,,,,,97.1,55.5,8.3,156.6,,191.7,,761.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS-PUR-111125-KKV1,RUS-PUR-111125,8018.0,single,0.0,SS,0.45,,dig,ICP-MS,,6,31.33929253,1.341162756,8.510221617,335.2706177,87.8319099,3.19012883,0.664760707,7.386230083,41.90882721,16.99234345,5.720314059,,34.58281096,36.73043764,44.91951882,16.78360216,9.879082736,,,,,7.956254361,58.08627679,5.708271292,0.088313621,8.285423311,,,0.394922454,,0.624216727,0.061980105,,,11.8,27.37,2.88,11.13,2.14,0.470,2.07,0.276,1.51,0.28,0.83,0.121,0.81,0.12,,0.236359363,,0.37159963,1.229566454,0.719756008,Summer,ppmEl,dig,ICP-MS,0.0,0.45,,,6.0,,,,,,5.9,8.0,0.9,0.7,0.5,0.9,0.7,1.8,,,0.5,,,,,,,39.0,31.9,4.5,42.0,,130.7,,914.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
