K2O_wt,Fe2O3T_wt,SiO2_wt,Al2O3_wt,P2O5_tot_wt,C_org_wt
2.39,0.89,85.6,5.14,0.02,0.05
2.42,3.77,73.47,9.69,0.09,0.44
2.29,3.89,66.44,10.39,0.01,0.34
1.78,4.52,63.35,8.88,0.08,0.04
1.85,3.47,70.8,8.62,0.09,0.18
1.15,2.8,80.46,6.33,0.05,0.18
2.75,3.4,75.99,9.13,0.15,0.09
2.96,4.49,72.45,10.93,0.28,0.02
4.47,5.54,61.97,16.46,0.11,0.07
2.99,3.1,76.98,9.34,0.09,0.04
0.69,2.14,93.64,3.62,0.04,0.14
0.95,2.63,86.1,5.1,0.04,0.29
1.05,5.1,83.45,7.6,0.05,0.19
1.26,2.82,81.8,6.76,0.05,0.04
1.11,2.63,90.32,5.76,0.04,0.21
0.86,6.77,76.44,7.02,0.08,0.09
2.12,6.05,65.53,15.56,0.14,0.21
0.24,1.48,90.92,4.17,0.03,0.11
0.28,5.54,80.03,9.09,0.03,0.19
